a	aː
hrossataði	r̥ ɔ s a t aː ð ɪ
hrossi	r̥ ɔ s ɪ
hrossið	r̥ ɔ s ɪ ð
hrossin	r̥ ɔ s ɪ n
hrossum	r̥ ɔ s ʏ m
hrossunum	r̥ ɔ s ɔ n ʏ m
hrottalega	r̥ ɔ h t a l ɛ ɣ a
hrottaskap	r̥ ɔ h t a s k aː p
hrotur	r̥ ɔː t ʏ r
hroturnar	r̥ ɔː t ʏ t n a r
hróa	r̥ ouː a
Hróarskeldu	r̥ ouː a r̥ s c ɛ l t ʏ
Hróarskelduhátíðinni	r̥ ouː a r̥ s c ɛ l t ʏ h auː t i ð ɪ n ɪ
Hróbjartsson	r̥ ouː p j a r̥ t s ɔ n
hróðmar	r̥ ou ð m a r
hróðug	r̥ ouː ð ʏ ɣ
hróðugur	r̥ ouː ð ʏ ɣ ʏ r
hróður	r̥ ouː ð ʏ r
hrófla	r̥ ou p l a
hróflað	r̥ ou p l a ð
hrókasamræðum	r̥ ouː k a s a m r ai ð ʏ m
hrókur	r̥ ouː k ʏ r
Hrólfi	r̥ ou l v ɪ
Hrólfs	r̥ ou l v s
Hrólfsson	r̥ ou l v s ɔ n
Hrólfur	r̥ ou l v ʏ r
hróp	r̥ ouː p
hrópa	r̥ ouː p a
hrópaði	r̥ ouː p a ð ɪ
hrópandi	r̥ ouː p a n t ɪ
hrópar	r̥ ouː p a r
hrópin	r̥ ouː p ɪ n
hrópuðu	r̥ ouː p ʏ ð ʏ
hrópum	r̥ ouː p ʏ m
hrós	r̥ ouː s
hrósa	r̥ ouː s a
hrósað	r̥ ouː s a ð
hrósaði	r̥ ouː s a ð ɪ
hrósandi	r̥ ouː s a n t ɪ
hrósar	r̥ ouː s a r
hrósið	r̥ ouː s ɪ ð
hróss	r̥ ou s
hrukka	r̥ ʏ h k a
hrukkaði	r̥ ʏ h k a ð ɪ
hrukku	r̥ ʏ h k ʏ
hrukkum	r̥ ʏ h k ʏ m
hrukkur	r̥ ʏ h k ʏ r
hrukkurnar	r̥ ʏ h k ʏ t n a r
hrun	r̥ ʏː n
Hrunamannahreppi	r̥ ʏː n a m a n a r̥ ɛ h p ɪ
hrunamannahreppur	r̥ ʏː n a m a n a r̥ ɛ h p ʏ r
Hrund	r̥ ʏ n t
Hrundar	r̥ ʏ n t a r
hrundi	r̥ ʏ n t ɪ
hrundið	r̥ ʏ n t ɪ ð
hrundu	r̥ ʏ n t ʏ
hruni	r̥ ʏː n ɪ
hrunið	r̥ ʏː n ɪ ð
hruninn	r̥ ʏː n ɪ n
hrutu	r̥ ʏː t ʏ
hrúðurflétta	r̥ uː ð ʏ r f l j ɛ h t a
hrúga	r̥ uː a
hrúgað	r̥ uː a ð
hrúgald	r̥ uː a l t
hrúgu	r̥ uː ʏ
hrúgum	r̥ uː ʏ m
hrúgunni	r̥ uː ʏ n ɪ
hrúgur	r̥ uː ʏ r
hrút	r̥ uː t
hrúta	r̥ uː t a
Hrútafirði	r̥ uː t a f ɪ r ð ɪ
hrútar	r̥ uː t a r
hrútfell	r̥ uː t f ɛ t l̥
hrúti	r̥ uː t ɪ
hrútinn	r̥ uː t ɪ n
hrútnum	r̥ u h t n ʏ m
hrúts	r̥ uː t s
hrúturinn	r̥ uː t ʏ r ɪ n
hryðjan	r̥ ɪ ð j a n
hryðjuverk	r̥ ɪ ð j ʏ v ɛ r̥ k
hryðjuverka	r̥ ɪ ð j ʏ v ɛ r̥ k a
hryðjuverkamanna	r̥ ɪ ð j ʏ v ɛ r̥ k a m a n a
hryðjuverkamannanna	r̥ ɪ ð j ʏ v ɛ r̥ k a m a n a n a
hryðjuverkamannsins	r̥ ɪ ð j ʏ v ɛ r̥ k a m a n s ɪ n s
hryðjuverkamenn	r̥ ɪ ð j ʏ v ɛ r̥ k a m ɛ n
hryðjuverkamönnum	r̥ ɪ ð j ʏ v ɛ r̥ k a m œ n ʏ m
hryðjuverkanna	r̥ ɪ ð j ʏ v ɛ r̥ k a n a
hryðjuverkasamtaka	r̥ ɪ ð j ʏ v ɛ r̥ k a s a m t a k a
hryðjuverkasamtakanna	r̥ ɪ ð j ʏ v ɛ r̥ k a s a m t a k a n a
hryðjuverkasamtök	r̥ ɪ ð j ʏ v ɛ r̥ k a s a m t œ k
hryðjuverkastarfsemi	r̥ ɪ ð j ʏ v ɛ r̥ k a s t a r v s ɛ m ɪ
hryðjuverkið	r̥ ɪ ð j ʏ v ɛ r̥ c ɪ ð
hryðjuverkin	r̥ ɪ ð j ʏ v ɛ r̥ c ɪ n
hryðjuverkum	r̥ ɪ ð j ʏ v ɛ r̥ k ʏ m
hryðjuverkunum	r̥ ɪ ð j ʏ v ɛ r̥ k ɔ n ʏ m
hrygg	r̥ ɪ k
hryggð	r̥ ɪ ɣ ð
hryggigt	r̥ ɪ k c ɪ x t
hrygginn	r̥ ɪ c ɪ n
hryggnum	r̥ ɪ k n ʏ m
hryggs	r̥ ɪ k s
hryggur	r̥ ɪ k ʏ r
hryggvöðva	r̥ ɪ k v œ ð v a
hrygna	r̥ ɪ k n a
hrygningartíma	r̥ ɪ k n i ŋ k a r̥ tʰ iː m a
hrygningu	r̥ ɪ k n i ŋ k ʏ
hrygnt	r̥ ɪ ŋ̊ t
hrykki	r̥ ɪ h c ɪ
hryllileg	r̥ ɪ t l ɪ l ɛ ɣ
hryllilega	r̥ ɪ t l ɪ l ɛ ɣ a
hryllilegt	r̥ ɪ t l ɪ l ɛ x t
hryllilegu	r̥ ɪ t l ɪ l ɛ ɣ ʏ
hryllilegum	r̥ ɪ t l ɪ l ɛ ɣ ʏ m
hryllilegur	r̥ ɪ t l ɪ l ɛ ɣ ʏ r
hrylling	r̥ ɪ t l i ŋ k
hryllingi	r̥ ɪ t l i ɲ c ɪ
hryllingur	r̥ ɪ t l i ŋ k ʏ r
hryllingurinn	r̥ ɪ t l i ŋ k ʏ r ɪ n
hryllir	r̥ ɪ t l ɪ r
hryllti	r̥ ɪ l̥ t ɪ
hryn	r̥ ɪː n
hryndi	r̥ ɪ n t ɪ
hrynja	r̥ ɪ n j a
hrynjandi	r̥ ɪ n j a n t ɪ
hrynur	r̥ ɪː n ʏ r
hryssingslega	r̥ ɪ s i ŋ s t l ɛ ɣ a
hryssuna	r̥ ɪ s ʏ n a
hryssur	r̥ ɪ s ʏ r
hryssurnar	r̥ ɪ s ʏ t n a r
hrýtur	r̥ iː t ʏ r
hræ	r̥ aiː
hrædd	r̥ ai t
hrædda	r̥ ai t a
hræddar	r̥ ai t a r
hræddari	r̥ ai t a r ɪ
hræddi	r̥ ai t ɪ
hræddir	r̥ ai t ɪ r
hræddist	r̥ ai t ɪ s t
hræddu	r̥ ai t ʏ
hræddur	r̥ ai t ʏ r
hræddust	r̥ ai t ʏ s t
hræða	r̥ aiː ð a
hræðast	r̥ aiː ð a s t
hræðileg	r̥ aiː ð ɪ l ɛ ɣ
hræðilega	r̥ aiː ð ɪ l ɛ ɣ a
hræðilegan	r̥ aiː ð ɪ l ɛ ɣ a n
hræðilegar	r̥ aiː ð ɪ l ɛ ɣ a r
hræðilegra	r̥ aiː ð ɪ l ɛ ɣ r a
hræðilegri	r̥ aiː ð ɪ l ɛ ɣ r ɪ
hræðilegt	r̥ aiː ð ɪ l ɛ x t
hræðilegu	r̥ aiː ð ɪ l ɛ ɣ ʏ
hræðir	r̥ aiː ð ɪ r
hræðist	r̥ aiː ð ɪ s t
hræðsla	r̥ ai ð s t l a
hræðslan	r̥ ai ð s t l a n
hræðslu	r̥ ai ð s t l ʏ
hræðslulega	r̥ ai ð s t l ʏ l ɛ ɣ a
hræðsluna	r̥ ai ð s t l ʏ n a
hræður	r̥ aiː ð ʏ r
hræið	r̥ ai j ɪ ð
hrækja	r̥ aiː c a
hrækt	r̥ ai x t
hræra	r̥ aiː r a
hrærast	r̥ aiː r a s t
hrærð	r̥ ai r ð
hrærðist	r̥ ai r ð ɪ s t
hrærðu	r̥ ai r ð ʏ
hrærið	r̥ aiː r ɪ ð
hrærigraut	r̥ aiː r ɪ k r œyː t
hræringar	r̥ aiː r i ŋ k a r
hrærir	r̥ aiː r ɪ r
hrærist	r̥ aiː r ɪ s t
hrært	r̥ ai r̥ t
hræsni	r̥ ai s t n ɪ
hrætt	r̥ ai h t
hröð	r̥ œː ð
hröðu	r̥ œː ð ʏ
hröðuðu	r̥ œː ð ʏ ð ʏ
hröðuðum	r̥ œː ð ʏ ð ʏ m
hröðum	r̥ œː ð ʏ m
hröðun	r̥ œː ð ʏ n
hrökk	r̥ œ h k
hrökklaðist	r̥ œ h k l a ð ɪ s t
hrökklast	r̥ œ h k l a s t
hrökkva	r̥ œ h k v a
hröktu	r̥ œ x t ʏ
hrönn	r̥ œ n
hrönnuðust	r̥ œ n ʏ ð ʏ s t
hrörleg	r̥ œ r l ɛ ɣ
hrörlega	r̥ œ r l ɛ ɣ a
hrörlegt	r̥ œ r l ɛ x t
hrörlegu	r̥ œ r l ɛ ɣ ʏ
hrörnun	r̥ œ r t n ʏ n
Hudsonfljót	h œ t s ɔ n f l j ouː t
hug	h ʏː ɣ
huga	h ʏː ɣ a
hugað	h ʏː ɣ a ð
hugann	h ʏː ɣ a n
hugans	h ʏː ɣ a n s
huganum	h ʏː ɣ a n ʏ m
hugar	h ʏː ɣ a r
hugarangri	h ʏː ɣ a r au ŋ k r ɪ
hugarástand	h ʏː ɣ a r auː s t a n t
hugarástandi	h ʏː ɣ a r auː s t a n t ɪ
hugarburður	h ʏː ɣ a r p ʏ r ð ʏ r
hugarfar	h ʏː ɣ a r f aː r
hugarfari	h ʏː ɣ a r f aː r ɪ
hugarflug	h ʏː ɣ a r f l ʏː ɣ
hugarfóstur	h ʏː ɣ a r f ou s t ʏ r
hugarheim	h ʏː ɣ a r h eiː m
hugarheimi	h ʏː ɣ a r h eiː m ɪ
hugarhægðar	h ʏː ɣ a r h ai ɣ ð a r
hugarlund	h ʏː ɣ a r l ʏ n t
hugarórar	h ʏː ɣ a r ouː r a r
hugarró	h ʏː ɣ a r ouː
hugaræsingi	h ʏː ɣ a r aiː s i ɲ c ɪ
Hugason	h ʏː ɣ a s ɔː n
hugblöndun	h ʏː ɣ p l œ n t ʏ n
hugboð	h ʏ ɣ p ɔ ð
hugbrot	h ʏ ɣ p r ɔ t
hugbúnað	h ʏ ɣ p u n a ð
hugbúnaðar	h ʏ ɣ p u n a ð a r
hugbúnaðarfyrirtæki	h ʏ ɣ p u n a ð a r f ɪː r ɪ r t aiː c ɪ
hugbúnaðarfyrirtækið	h ʏ ɣ p u n a ð a r f ɪː r ɪ r t aiː c ɪ ð
hugbúnaðargerð	h ʏ ɣ p u n a ð a r c ɛ r ð
hugbúnaðarins	h ʏ ɣ p u n a ð a r ɪ n s
hugbúnaðarsjóðurinn	h ʏ ɣ p u n a ð a r s j ouː ð ʏ r ɪ n
hugbúnaði	h ʏ ɣ p u n a ð ɪ
hugbúnaðinn	h ʏ ɣ p u n a ð ɪ n
hugbúnaðinum	h ʏ ɣ p u n a ð ɪ n ʏ m
hugbúnaður	h ʏ ɣ p u n a ð ʏ r
hugbúnaðurinn	h ʏ ɣ p u n a ð ʏ r ɪ n
hugdetta	h ʏ ɣ t ɛ h t a
hugdjarfi	h ʏ ɣ t j a r v ɪ
hugðarefni	h ʏ ɣ ð a r ɛ p n ɪ
hugðarefnum	h ʏ ɣ ð a r ɛ p n ʏ m
hugði	h ʏ ɣ ð ɪ
hugðist	h ʏ ɣ ð ɪ s t
hugðust	h ʏ ɣ ð ʏ s t
hugfangin	h ʏ x f au ɲ c ɪ n
hugfanginn	h ʏ x f au ɲ c ɪ n
hugfast	h ʏ x f a s t
hugga	h ʏ k a
huggað	h ʏ k a ð
huggandi	h ʏ k a n t ɪ
huggar	h ʏ k a r
hugguleg	h ʏ k ʏ l ɛ ɣ
huggulegri	h ʏ k ʏ l ɛ ɣ r ɪ
huggulegt	h ʏ k ʏ l ɛ x t
huggum	h ʏ k ʏ m
huggun	h ʏ k ʏ n
huggunar	h ʏ k ʏ n a r
huggunarorðum	h ʏ k ʏ n a r ɔ r ð ʏ m
hugheilar	h ʏː ɣ h ei l a r
hughreysta	h ʏ x r̥ ei s t a
hughreystandi	h ʏ x r̥ ei s t a n t ɪ
hughreysti	h ʏ x r̥ ei s t ɪ
hughreysting	h ʏ x r̥ ei s t i ŋ k
hughrif	h ʏ x r̥ ɪ v
hughvarf	h ʏ x kʰ v a r v
hughyggja	h ʏː ɣ h ɪ c a
hugi	h ʏi j ɪ
huginn	h ʏi j ɪ n
hugkvæmni	h ʏ ɣ k v ai m n ɪ
hugkvæmst	h ʏ ɣ k v ai m s t
hugleiddi	h ʏ ɣ l ei t ɪ
hugleiddu	h ʏ ɣ l ei t ʏ
hugleiða	h ʏ ɣ l ei ð a
hugleiði	h ʏ ɣ l ei ð ɪ
hugleiðing	h ʏ ɣ l ei ð i ŋ k
hugleiðingar	h ʏ ɣ l ei ð i ŋ k a r
hugleiðingu	h ʏ ɣ l ei ð i ŋ k ʏ
hugleiðingum	h ʏ ɣ l ei ð i ŋ k ʏ m
hugleiðslu	h ʏ ɣ l ei ð s t l ʏ
hugleikið	h ʏ ɣ l ei c ɪ ð
hugleikin	h ʏ ɣ l ei c ɪ n
hugleitt	h ʏ ɣ l ei h t
hugleysi	h ʏ ɣ l ei s ɪ
hugljómun	h ʏ ɣ l j ou m ʏ n
hugljúfa	h ʏ ɣ l j u v a
hugljúfi	h ʏ ɣ l j u v ɪ
hugljúft	h ʏ ɣ l j u f t
hugmynd	h ʏ ɣ m ɪ n t
hugmynda	h ʏ ɣ m ɪ n t a
hugmyndaauðgi	h ʏ ɣ m ɪ n t a œy ð c ɪ
hugmyndaflug	h ʏ ɣ m ɪ n t a f l ʏː ɣ
hugmyndaflugið	h ʏ ɣ m ɪ n t a f l ʏi j ɪ ð
hugmyndafræði	h ʏ ɣ m ɪ n t a f r aiː ð ɪ
hugmyndafræðin	h ʏ ɣ m ɪ n t a f r aiː ð ɪ n
hugmyndagerjunar	h ʏ ɣ m ɪ n t a c ɛ r j ʏ n a r
hugmyndalegum	h ʏ ɣ m ɪ n t a l ɛː ɣ ʏ m
hugmyndar	h ʏ ɣ m ɪ n t a r
hugmyndarinnar	h ʏ ɣ m ɪ n t a r ɪ n a r
hugmyndaríkur	h ʏ ɣ m ɪ n t a r iː k ʏ r
hugmyndavinnu	h ʏ ɣ m ɪ n t a v ɪ n ʏ
hugmyndin	h ʏ ɣ m ɪ n t ɪ n
hugmyndina	h ʏ ɣ m ɪ n t ɪ n a
hugmyndinni	h ʏ ɣ m ɪ n t ɪ n ɪ
hugmyndir	h ʏ ɣ m ɪ n t ɪ r
hugmyndirnar	h ʏ ɣ m ɪ n t ɪ t n a r
hugmyndum	h ʏ ɣ m ɪ n t ʏ m
hugmyndunum	h ʏ ɣ m ɪ n t ɔ n ʏ m
hugnast	h ʏ k n a s t
hugprýði	h ʏ ɣ p r i ð ɪ
hugrakkur	h ʏ ɣ r a h k ʏ r
hugrekki	h ʏ ɣ r ɛ h c ɪ
hugrekkis	h ʏ ɣ r ɛ h c ɪ s
hugrekkiskast	h ʏ ɣ r ɛ h c ɪ s k a s t
hugrenninga	h ʏ ɣ r ɛ n i ŋ k a
hugrenningar	h ʏ ɣ r ɛ n i ŋ k a r
hugrenningum	h ʏ ɣ r ɛ n i ŋ k ʏ m
Hugrún	h ʏ ɣ r u n
hugrökk	h ʏ ɣ r œ h k
hugsa	h ʏ k s a
hugsað	h ʏ k s a ð
hugsaðar	h ʏ k s a ð a r
hugsaði	h ʏ k s a ð ɪ
hugsaðir	h ʏ k s a ð ɪ r
hugsaðu	h ʏ k s a ð ʏ
hugsaður	h ʏ k s a ð ʏ r
hugsana	h ʏ k s a n a
hugsandi	h ʏ k s a n t ɪ
hugsanir	h ʏ k s a n ɪ r
hugsanirnar	h ʏ k s a n ɪ t n a r
hugsanleg	h ʏ k s a n l ɛ ɣ
hugsanlega	h ʏ k s a n l ɛ ɣ a
hugsanlegan	h ʏ k s a n l ɛ ɣ a n
hugsanlegar	h ʏ k s a n l ɛ ɣ a r
hugsanlegra	h ʏ k s a n l ɛ ɣ r a
hugsanlegrar	h ʏ k s a n l ɛ ɣ r a r
hugsanlegri	h ʏ k s a n l ɛ ɣ r ɪ
hugsanlegs	h ʏ k s a n l ɛ x s
hugsanlegt	h ʏ k s a n l ɛ x t
hugsanlegu	h ʏ k s a n l ɛ ɣ ʏ
hugsanlegum	h ʏ k s a n l ɛ ɣ ʏ m
hugsanlegur	h ʏ k s a n l ɛ ɣ ʏ r
hugsar	h ʏ k s a r
hugsast	h ʏ k s a s t
hugsi	h ʏ k s ɪ
hugsið	h ʏ k s ɪ ð
hugsjóna	h ʏ x s j ou n a
hugsjónamaður	h ʏ x s j ou n a m aː ð ʏ r
hugsjónir	h ʏ x s j ou n ɪ r
hugsjónum	h ʏ x s j ou n ʏ m
hugskot	h ʏ x s k ɔ t
hugskoti	h ʏ x s k ɔ t ɪ
hugskotinu	h ʏ x s k ɔ t ɪ n ʏ
hugskotssjónum	h ʏ x s k ɔ t s j ouː n ʏ m
hugsmiðjunnar	h ʏ k s m ɪ ð j ʏ n a r
hugsmiðjunni	h ʏ k s m ɪ ð j ʏ n ɪ
hugsmíð	h ʏ k s m i ð
hugsuð	h ʏ k s ʏ ð
hugsuðu	h ʏ k s ʏ ð ʏ
hugsuðum	h ʏ k s ʏ ð ʏ m
hugsum	h ʏ k s ʏ m
hugsun	h ʏ k s ʏ n
hugsunar	h ʏ k s ʏ n a r
hugsunarhátt	h ʏ k s ʏ n a r h au h t
hugsunarháttur	h ʏ k s ʏ n a r h au h t ʏ r
hugsunarhætti	h ʏ k s ʏ n a r h ai h t ɪ
hugsunarlaust	h ʏ k s ʏ n a r l œy s t
hugsunarleysi	h ʏ k s ʏ n a r l eiː s ɪ
hugsunin	h ʏ k s ʏ n ɪ n
hugsunum	h ʏ k s ʏ n ʏ m
hugsýn	h ʏ x s i n
hugtak	h ʏ x t a k
hugtakið	h ʏ x t a c ɪ ð
hugtakinu	h ʏ x t a c ɪ n ʏ
hugtök	h ʏ x t œ k
hugtökum	h ʏ x t œ k ʏ m
hugum	h ʏː ɣ ʏ m
hugur	h ʏː ɣ ʏ r
hugurinn	h ʏː ɣ ʏ r ɪ n
hugvekju	h ʏ ɣ v ɛ c ʏ
hugver	h ʏ ɣ v ɛ r
hugvit	h ʏ ɣ v ɪ t
hugviti	h ʏ ɣ v ɪ t ɪ
hugvitsmanna	h ʏ ɣ v ɪ t s m a n a
huld	h ʏ l t
Hulda	h ʏ l t a
huldar	h ʏ l t a r
huldi	h ʏ l t ɪ
huldir	h ʏ l t ɪ r
huldu	h ʏ l t ʏ
huldufólk	h ʏ l t ʏ f ou l̥ k
huldufólkið	h ʏ l t ʏ f ou l̥ c ɪ ð
hulið	h ʏː l ɪ ð
hulin	h ʏː l ɪ n
hulinn	h ʏː l ɪ n
hulinshnútur	h ʏː l ɪ n s n̥ uː t ʏ r
hulinshnykill	h ʏː l ɪ n s n̥ ɪː c ɪ t l̥
hull	h u l
hulu	h ʏː l ʏ
hulunni	h ʏː l ʏ n ɪ
humar	h ʏː m a r
humarbragð	h ʏː m a r p r a ɣ ð
humátt	h ʏː m au h t
humáttina	h ʏː m au h t ɪ n a
humlaríkt	h ʏ m l a r i x t
humm	h ʏ m
humma	h ʏ m a
hummaði	h ʏ m a ð ɪ
hummus	h ʏ m ʏ s
humri	h ʏ m r ɪ
hunang	h ʏː n au ŋ k
hunangs	h ʏː n au ŋ s
hunangsröddu	h ʏː n au ŋ s r œ t ʏ
hund	h ʏ n t
hunda	h ʏ n t a
hundaganga	h ʏ n t a k au ŋ k a
hundakyn	h ʏ n t a cʰ ɪː n
hundana	h ʏ n t a n a
hundanna	h ʏ n t a n a
hundar	h ʏ n t a r
hundarnir	h ʏ n t a t n ɪ r
hundastjörnuna	h ʏ n t a s t j œ r t n ʏ n a
hundastofninum	h ʏ n t a s t ɔ p n ɪ n ʏ m
hundastyttur	h ʏ n t a s t ɪ h t ʏ r
hundavinur	h ʏ n t a v ɪː n ʏ r
hundelt	h ʏ n t ɛ l̥ t
hundfúlt	h ʏ n t f u l̥ t
hundgá	h ʏ n t k au
hundi	h ʏ n t ɪ
hundinn	h ʏ n t ɪ n
hundinum	h ʏ n t ɪ n ʏ m
hundleið	h ʏ n t l ei ð
hundleiðinleg	h ʏ n t l ei ð ɪ n l ɛ ɣ
hundleiðinlegt	h ʏ n t l ei ð ɪ n l ɛ x t
hundleiður	h ʏ n t l ei ð ʏ r
hundrað	h ʏ n t r a ð
hundraða	h ʏ n t r a ð a
hundraðasta	h ʏ n t r a ð a s t a
hundraðasti	h ʏ n t r a ð a s t ɪ
hundraðatali	h ʏ n t r a ð a t aː l ɪ
hundraðfalt	h ʏ n t r a ð f a l̥ t
hundraði	h ʏ n t r a ð ɪ
hundraðið	h ʏ n t r a ð ɪ ð
hundraðkall	h ʏ n t r a k a t l̥
hundraðs	h ʏ n t r a ð s
hundraðþúsundkall	h ʏ n t r a θ uː s ʏ n t k a t l̥
hundruð	h ʏ n t r ʏ ð
hundruðir	h ʏ n t r ʏ ð ɪ r
hundruðum	h ʏ n t r ʏ ð ʏ m
hundruðustu	h ʏ n t r ʏ ð ʏ s t ʏ
hunds	h ʏ n t s
hundsa	h ʏ n s a
hundshaus	h ʏ n t s h œy s
hundsins	h ʏ n t s ɪ n s
hundskammaði	h ʏ n t s k a m a ð ɪ
hundskast	h ʏ n s k a s t
hundsvit	h ʏ n t s v ɪ t
hundum	h ʏ n t ʏ m
hundunum	h ʏ n t ɔ n ʏ m
hundur	h ʏ n t ʏ r
hundurinn	h ʏ n t ʏ r ɪ n
hungraðir	h u ŋ k r a ð ɪ r
hungraður	h u ŋ k r a ð ʏ r
hungrar	h u ŋ k r a r
hungri	h u ŋ k r ɪ
hungrið	h u ŋ k r ɪ ð
hungruðum	h u ŋ k r ʏ ð ʏ m
hungur	h u ŋ k ʏ r
hungurdauða	h u ŋ k ʏ r t œyː ð a
hungurmorða	h u ŋ k ʏ r m ɔ r ð a
hungurs	h u ŋ k ʏ r̥ s
hungursneyð	h u ŋ k ʏ r̥ s t n eiː ð
hungursneyðinni	h u ŋ k ʏ r̥ s t n eiː ð ɪ n ɪ
hungurvofan	h u ŋ k ʏ r v ɔː v a n
hungurvöku	h u ŋ k ʏ r v œː k ʏ
hunsa	h ʏ n s a
hunsaði	h ʏ n s a ð ɪ
hunskast	h ʏ n s k a s t
huppa	h ʏ h p a
hurð	h ʏ r ð
hurðar	h ʏ r ð a r
hurðarbaki	h ʏ r ð a r p a c ɪ
hurðarhúninn	h ʏ r ð a r h uː n ɪ n
hurðarskell	h ʏ r ð a r s c ɛ t l̥
hurðin	h ʏ r ð ɪ n
hurðina	h ʏ r ð ɪ n a
hurðinni	h ʏ r ð ɪ n ɪ
hurðir	h ʏ r ð ɪ r
hurðum	h ʏ r ð ʏ m
hurðunum	h ʏ r ð ɔ n ʏ m
hurfu	h ʏ r v ʏ
hurfum	h ʏ r v ʏ m
húð	h uː ð
húðar	h uː ð a r
húðarinnar	h uː ð a r ɪ n a r
húðflúr	h u ð f l u r
húðflúrið	h u ð f l u r ɪ ð
húðin	h uː ð ɪ n
húðina	h uː ð ɪ n a
húðinni	h uː ð ɪ n ɪ
húfa	h uː a
húfan	h uː a n
húfi	h uː v ɪ
húfu	h uː ʏ
húfuna	h uː ʏ n a
húfur	h uː ʏ r
húka	h uː k a
húkir	h uː c ɪ r
húkka	h u h k a
húkti	h u x t ɪ
húktu	h u x t ʏ
húmi	h uː m ɪ
húmið	h uː m ɪ ð
húminu	h uː m ɪ n ʏ
húmor	h uː m ɔ r
húmorinn	h uː m ɔ r ɪ n
húmoristi	h uː m ɔ r ɪ s t ɪ
hún	h uː n
húna	h uː n a
Húnabúð	h uː n a p uː ð
Húnaflóa	h uː n a f l ouː a
Húnavatnssýslu	h uː n a v a s i s t l ʏ
Húnaþingi	h uː n a θ i ɲ c ɪ
húni	h uː n ɪ
Húnvetninga	h u n v ɛ h t n i ŋ k a
Húnvetningur	h u n v ɛ h t n i ŋ k ʏ r
húrra	h u r a
húrrahróp	h u r a r̥ ouː p
hús	h uː s
húsa	h uː s a
húsabaki	h uː s a p aː c ɪ
Húsabakka	h uː s a p a h k a
Húsabakkaskóla	h uː s a p a h k a s k ouː l a
Húsabakki	h uː s a p a h c ɪ
Húsafell	h uː s a f ɛ t l̥
Húsafelli	h uː s a f ɛ t l ɪ
húsagarð	h uː s a k a r ð
húsagarðinn	h uː s a k a r ð ɪ n
húsagerð	h uː s a c ɛ r ð
húsakost	h uː s a k ɔ s t
húsakynni	h uː s a c ɪ n ɪ
húsakynnin	h uː s a c ɪ n ɪ n
húsakynnum	h uː s a c ɪ n ʏ m
húsaleigu	h uː s a l eiː ɣ ʏ
húsaleigubóta	h uː s a l ei ɣ ʏ p ouː t a
húsaleigubætur	h uː s a l ei ɣ ʏ p aiː t ʏ r
húsanna	h uː s a n a
húsaraðir	h uː s a r aː ð ɪ r
húsaskjól	h uː s a s c ouː l
Húsasmiðjan	h uː s a s m ɪ ð j a n
Húsasmiðjunnar	h uː s a s m ɪ ð j ʏ n a r
Húsasmiðjunni	h uː s a s m ɪ ð j ʏ n ɪ
húsasmíðameistari	h uː s a s m i ð a m ei s t a r ɪ
húsasmíði	h uː s a s m iː ð ɪ
húsasund	h uː s a s ʏ n t
húsasundi	h uː s a s ʏ n t ɪ
Húsavík	h uː s a v iː k
Húsavíkur	h uː s a v iː k ʏ r
húsbíl	h uː s p i l
húsbílinn	h uː s p i l ɪ n
húsbónda	h uː s p ou n t a
húsbóndaherbergið	h uː s p ou n t a h ɛ r p ɛ c ɪ ð
húsbóndaherberginu	h uː s p ou n t a h ɛ r p ɛ c ɪ n ʏ
húsbóndann	h uː s p ou n t a n
húsbóndanum	h uː s p ou n t a n ʏ m
húsbóndastólinn	h uː s p ou n t a s t ouː l ɪ n
húsbóndi	h uː s p ou n t ɪ
húsbóndinn	h uː s p ou n t ɪ n
húsbréf	h uː s p r j ɛ v
húsbréfa	h uː s p r j ɛ v a
húsbréfalán	h uː s p r j ɛ v a l auː n
húsbréfalána	h uː s p r j ɛ v a l auː n a
húsbréfin	h uː s p r j ɛ v ɪ n
húsbréfum	h uː s p r j ɛ v ʏ m
húsbyggingar	h uː s p ɪ c i ŋ k a r
húsbyggjanda	h uː s p ɪ c a n t a
húsbændur	h uː s p ai n t ʏ r
húsbændurnir	h uː s p ai n t ʏ t n ɪ r
húsdýragarðinn	h uː s t i r a k a r ð ɪ n
húsdýragarðurinn	h uː s t i r a k a r ð ʏ r ɪ n
húseigandinn	h uː s ei ɣ a n t ɪ n
húseigendur	h uː s ei ɣ ɛ n t ʏ r
húseign	h uː s ei k n̥
húseignir	h uː s ei k n ɪ r
húsfélags	h uː s f j ɛ l a x s
húsfélagsins	h uː s f j ɛ l a x s ɪ n s
húsfreyja	h uː s f r ei j a
húsfreyjan	h uː s f r ei j a n
húsfreyju	h uː s f r ei j ʏ
húsfreyjunnar	h uː s f r ei j ʏ n a r
húsfreyjunni	h uː s f r ei j ʏ n ɪ
húsfyllir	h uː s f ɪ t l ɪ r
húsgagna	h uː s k a k n a
húsgögn	h uː s k œ k n̥
húsgögnin	h uː s k œ k n ɪ n
húsgögnum	h uː s k œ k n ʏ m
húsgögnunum	h uː s k œ k n ɔ n ʏ m
húshjálp	h uː s ç au l̥ p
húshornið	h uː s h ɔ t n ɪ ð
húsi	h uː s ɪ
húsið	h uː s ɪ ð
húsin	h uː s ɪ n
húsinu	h uː s ɪ n ʏ
húskofa	h uː s k ɔ v a
húsleit	h uː s t l ei t
